href_link,rating,title,year
/title/tt4574334/,8.9,Stranger Things,(2016)
/title/tt5753856/,8.7,Dark,(2017)
/title/tt7366338/,9.5,Chernobyl,(2019)
/title/tt2085059/,8.9,Black Mirror,(2011)
/title/tt0944947/,9.4,Game of Thrones,(2011)
/title/tt8772296/,7.8,Euphoria,(2019)
/title/tt5834204/,8.5,The Handmaid's Tale,(2017)
/title/tt5180504/,,The Witcher,"(
"
/title/tt3920596/,8.6,Big Little Lies,(2017)
/title/tt4052886/,8.2,Lucifer,(2015)
/title/tt1869454/,8.3,Good Omens,(2019)
/title/tt7137906/,9.1,When They See Us,(2019)
/title/tt3006802/,8.5,Outlander,(2014)
/title/tt5296406/,7.6,Designated Survivor,(2016)
/title/tt2661044/,7.7,The 100,(2014)
/title/tt0412253/,8.4,Veronica Mars,(2004)
/title/tt0386676/,8.8,The Office,(2005)
/title/tt0903747/,9.5,Breaking Bad,(2008)
/title/tt2442560/,8.8,Peaky Blinders,(2013)
/title/tt2357547/,8.0,Jessica Jones,(2015)
/title/tt7395992/,6.6,The Rook,(2019)
/title/tt2560140/,8.8,Attack on Titan,(2013)
/title/tt0108778/,8.9,Friends,(1994)
/title/tt1520211/,8.3,The Walking Dead,(2010)
/title/tt7087260/,7.5,Tales of the City,(2019)
/title/tt7016936/,8.3,Killing Eve,(2018)
/title/tt2306299/,8.6,Vikings,(2013)
/title/tt0413573/,7.6,Grey's Anatomy,(2005)
/title/tt0898266/,8.2,The Big Bang Theory,(2007)
/title/tt4236770/,8.3,Yellowstone,(2018)
/title/tt2364582/,7.5,Agents of S.H.I.E.L.D.,(2013)
/title/tt0460681/,8.5,Supernatural,(2005)
/title/tt5114356/,8.3,Legion,(2017)
/title/tt6821044/,7.6,The Loudest Voice,(2019)
/title/tt2467372/,8.4,Brooklyn Nine-Nine,(2013)
/title/tt7187044/,7.8,City on a Hill,(2019)
/title/tt5420376/,7.3,Riverdale,(2017)
/title/tt7949606/,7.1,The Last Czars,(2019)
/title/tt5574490/,8.2,Animal Kingdom,(2016)
/title/tt1327801/,6.8,Glee,(2009)
/title/tt1632701/,8.5,Suits,(2011)
/title/tt8403536/,7.2,Mr. Iglesias,(2019)
/title/tt6468322/,8.6,Money Heist,(2017)
/title/tt2372162/,8.1,Orange Is the New Black,(2013)
/title/tt4508902/,8.9,One Punch Man,(2015)
/title/tt3743822/,7.0,Fear the Walking Dead,(2015)
/title/tt1190634/,,The Boys,(2019)
/title/tt0475784/,8.8,Westworld,(2016)
/title/tt0452046/,8.1,Criminal Minds,(2005)
/title/tt7671068/,6.4,Grand Hotel,(2019)
/title/tt8362852/,8.4,Swamp Thing,(2019)
/title/tt0106148/,8.6,Tales of the City,(1993)
/title/tt2193021/,7.6,Arrow,(2012)
/title/tt8694364/,8.4,Years and Years,(2019)
/title/tt2356777/,9.0,True Detective,(2014)
/title/tt3107288/,7.8,The Flash,(2014)
/title/tt8064302/,8.2,Dead to Me,(2019)
/title/tt3526078/,8.2,Schitt's Creek,(2015)
/title/tt0203259/,8.0,Law & Order: Special Victims Unit,(1999)
/title/tt0348914/,8.7,Deadwood,(2004)
/title/tt2741602/,8.1,The Blacklist,(2013)
/title/tt0364845/,7.8,NCIS,(2003)
/title/tt1064899/,7.9,Queen of the South,(2016)
/title/tt6474378/,7.9,Good Girls,(2018)
/title/tt0141842/,9.2,The Sopranos,(1999)
/title/tt1586680/,8.7,Shameless,(2011)
/title/tt1844624/,8.1,American Horror Story,(2011)
/title/tt8860450/,6.3,What/If,(2019)
/title/tt0804503/,8.6,Mad Men,(2007)
/title/tt3566726/,7.8,Jane the Virgin,(2014)
/title/tt0436992/,8.7,Doctor Who,(2005)
/title/tt0472954/,8.7,It's Always Sunny in Philadelphia,(2005)
/title/tt6517320/,7.4,Too Old to Die Young,(2019)
/title/tt1266020/,8.6,Parks and Recreation,(2009)
/title/tt5687612/,8.6,Fleabag,(2016)
/title/tt0460649/,8.3,How I Met Your Mother,(2005)
/title/tt2701582/,8.6,Endeavour,(2012)
/title/tt1475582/,9.1,Sherlock,(2010)
/title/tt4270492/,8.4,Billions,(2016)
/title/tt5194792/,6.8,NOS4A2,(2019)
/title/tt0773262/,8.7,Dexter,(2006)
/title/tt2191671/,7.9,Elementary,(2012)
/title/tt0306414/,9.3,The Wire,(2002)
/title/tt1606375/,8.7,Downton Abbey,(2010)
/title/tt0098904/,8.8,Seinfeld,(1989)
/title/tt3032476/,8.7,Better Call Saul,(2015)
/title/tt3749900/,7.9,Gotham,(2014)
/title/tt0118401/,7.8,Midsomer Murders,(1997)
/title/tt5743796/,8.3,Warrior,(2019)
/title/tt1796960/,8.3,Homeland,(2011)
/title/tt1442437/,8.4,Modern Family,(2009)
/title/tt4647692/,8.5,Letterkenny,(2016)
/title/tt1312171/,8.1,The Umbrella Academy,(2019)
/title/tt2802850/,9.0,Fargo,(2014)
/title/tt1124373/,8.6,Sons of Anarchy,(2008)
/title/tt2861424/,9.3,Rick and Morty,(2013)
/title/tt6763664/,8.7,The Haunting of Hill House,(2018)
/title/tt7562112/,8.5,Pose,(2018)
/title/tt0411008/,8.4,Lost,(2004)
/title/tt8778064/,7.1,The Society,(2019)
